graph_dot,graph_g6,executable,method,cr,time,success
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 5; 0 -- 6; 1; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FqN~w,bin/okp-recognition,ilp,4.0,950345798.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 5; 0 -- 6; 1; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FqN~w,bin/okp-recognition-cro,ilp,4.0,411392144.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 5; 0 -- 6; 1; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FqN~w,bin/okp-recognition-full,ilp,4.0,406650755.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 5; 0 -- 6; 1; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},FqN~w,bin/okp-recognition-full-cro,ilp,4.0,550551869.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}lzw,bin/okp-recognition,ilp,4.0,386898117.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}lzw,bin/okp-recognition-cro,ilp,4.0,518128368.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}lzw,bin/okp-recognition-full,ilp,4.0,703819142.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}lzw,bin/okp-recognition-full-cro,ilp,4.0,759450214.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}l~w,bin/okp-recognition,ilp,5.0,918806343.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}l~w,bin/okp-recognition-cro,ilp,5.0,707351777.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}l~w,bin/okp-recognition-full,ilp,5.0,1314292672.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 5; 1 -- 6; 2; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F}l~w,bin/okp-recognition-full-cro,ilp,5.0,1275469607.0,True
graph G {  0; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F^~~w,bin/okp-recognition,ilp,6.0,1187850033.0,True
graph G {  0; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F^~~w,bin/okp-recognition-cro,ilp,6.0,1040092037.0,True
graph G {  0; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F^~~w,bin/okp-recognition-full,ilp,6.0,1689725712.0,True
graph G {  0; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F^~~w,bin/okp-recognition-full-cro,ilp,6.0,1673562092.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F~~~w,bin/okp-recognition,ilp,6.0,1192114806.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F~~~w,bin/okp-recognition-cro,ilp,6.0,1495363108.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F~~~w,bin/okp-recognition-full,ilp,6.0,1807391502.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 3; 3 -- 4; 3 -- 5; 3 -- 6; 4; 4 -- 5; 4 -- 6; 5; 5 -- 6; 6;},F~~~w,bin/okp-recognition-full-cro,ilp,6.0,2610825412.0,True
graph G {  0; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I??F~~~~w,bin/okp-recognition,ilp,9.0,6811352864.0,True
graph G {  0; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I??F~~~~w,bin/okp-recognition-cro,ilp,9.0,6323753560.0,True
graph G {  0; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I??F~~~~w,bin/okp-recognition-full,ilp,9.0,11567676438.0,True
graph G {  0; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I??F~~~~w,bin/okp-recognition-full-cro,ilp,9.0,15615032008.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 1; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EF~w,bin/okp-recognition,ilp,3.0,70175580.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 1; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EF~w,bin/okp-recognition-cro,ilp,3.0,60198877.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 1; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EF~w,bin/okp-recognition-full,ilp,3.0,80309078.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 1; 1 -- 3; 1 -- 4; 1 -- 5; 2; 2 -- 3; 2 -- 4; 2 -- 5; 3; 3 -- 4; 3 -- 5; 4; 4 -- 5; 5;},EF~w,bin/okp-recognition-full-cro,ilp,3.0,111032706.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 7;},Gs\v~w,bin/okp-recognition,ilp,6.0,2065412792.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 7;},Gs\v~w,bin/okp-recognition-cro,ilp,6.0,1741086698.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 7;},Gs\v~w,bin/okp-recognition-full,ilp,6.0,6522155844.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 7;},Gs\v~w,bin/okp-recognition-full-cro,ilp,6.0,2746755775.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GF~~~{,bin/okp-recognition,ilp,8.0,2352600508.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GF~~~{,bin/okp-recognition-cro,ilp,8.0,2024420060.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GF~~~{,bin/okp-recognition-full,ilp,8.0,5409505376.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 4; 4 -- 5; 4 -- 6; 4 -- 7; 5; 5 -- 6; 5 -- 7; 6; 6 -- 7; 7;},GF~~~{,bin/okp-recognition-full-cro,ilp,8.0,4281171959.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 7; 7 -- 9; 8; 8 -- 9; 9;},Is\v~~}~W,bin/okp-recognition,ilp,12.0,33121921930.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 7; 7 -- 9; 8; 8 -- 9; 9;},Is\v~~}~W,bin/okp-recognition-cro,ilp,12.0,25273798100.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 7; 7 -- 9; 8; 8 -- 9; 9;},Is\v~~}~W,bin/okp-recognition-full,ilp,12.0,64349626883.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 7; 7 -- 9; 8; 8 -- 9; 9;},Is\v~~}~W,bin/okp-recognition-full-cro,ilp,12.0,67876896461.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 5; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},IF~~~~~~w,bin/okp-recognition,ilp,15.0,39598135807.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 5; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},IF~~~~~~w,bin/okp-recognition-cro,ilp,15.0,55667679454.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 5; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},IF~~~~~~w,bin/okp-recognition-full,ilp,15.0,85806406119.0,True
graph G {  0; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 0 -- 8; 0 -- 9; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 1 -- 9; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 6; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 5; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},IF~~~~~~w,bin/okp-recognition-full-cro,ilp,15.0,115951521760.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 8; 4 -- 9; 5; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},Iv~vVL^Nw,bin/okp-recognition,ilp,10.0,32461796319.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 8; 4 -- 9; 5; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},Iv~vVL^Nw,bin/okp-recognition-cro,ilp,10.0,26187648633.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 8; 4 -- 9; 5; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},Iv~vVL^Nw,bin/okp-recognition-full,ilp,10.0,54784578195.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 1; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 8; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 7; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 8; 4 -- 9; 5; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},Iv~vVL^Nw,bin/okp-recognition-full-cro,ilp,10.0,53210113368.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 0 -- 8; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 9; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I~~v]}~^w,bin/okp-recognition,ilp,12.0,29396898423.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 0 -- 8; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 9; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I~~v]}~^w,bin/okp-recognition-cro,ilp,12.0,30532328176.0,True
graph G {  0; 0 -- 1; 0 -- 2; 0 -- 3; 0 -- 4; 0 -- 5; 0 -- 6; 0 -- 7; 0 -- 8; 1; 1 -- 2; 1 -- 3; 1 -- 4; 1 -- 5; 1 -- 6; 1 -- 7; 1 -- 9; 2; 2 -- 3; 2 -- 4; 2 -- 5; 2 -- 6; 2 -- 8; 2 -- 9; 3; 3 -- 4; 3 -- 5; 3 -- 7; 3 -- 8; 3 -- 9; 4; 4 -- 6; 4 -- 7; 4 -- 8; 4 -- 9; 5; 5 -- 6; 5 -- 7; 5 -- 8; 5 -- 9; 6; 6 -- 7; 6 -- 8; 6 -- 9; 7; 7 -- 8; 7 -- 9; 8; 8 -- 9; 9;},I~~v]}~^w,bin/okp-recognition-full,ilp,12.0,65851507261.0,True
